,CID,Description
35,11201035,"4-[2-phenyl-5,7-bis(trifluoromethyl)-3-pyrazolo[1,5-a]pyrimidinyl]phenol is a member of pyrazoles and a ring assembly."
36,5307507,"1-(3-amino-7-methoxy-1-pyrazolo[3,4-b]quinolinyl)-2-(2-methoxyphenyl)ethanone is a member of quinolines."
37,71158,"Acamprosate is an organosulfonic acid that is propane-1-sulfonic acid substituted by an acetylamino group at position 3. It has a role as a neurotransmitter agent, an environmental contaminant and a xenobiotic. It is an organosulfonic acid and a member of acetamides."
38,5318,"1-{2-[(4-chlorobenzyl)sulfanyl]-2-(2,4-dichlorophenyl)ethyl}-1H-imidazole is a member of the class of imidazoles that is 1-ethyl-1H-imidazole in which one of the hydrogens of the methyl group is replaced by a (4-chlorobenzyl)sulfanediyl group while a second is replaced by a 2,4-dichlorophenyl group. It is a member of imidazoles, an organic sulfide, a dichlorobenzene and a member of monochlorobenzenes."
39,6724,"Acenaphthoquinone is an orthoquinone that is the 1,2-dioxo derivative of acenaphthene. It has a role as an epitope and a chain carrier. It derives from a hydride of an acenaphthene."
40,57364,"Carmoxirole is an indolecarboxylic acid that is indole-5-carboxylic acid bearing an additional 4-(4-phenyl-1,2,3,6-tetrahydropyridin-1-yl)butyl substituent at position 3. Selective, peripherally acting dopamine D2 receptor agonist. Modulates noradrenalin release and sympathetic activation. Displays antihypertensive properties in vivo. It has a role as an antihypertensive agent, a dopamine agonist and a platelet aggregation inhibitor. It is an indolecarboxylic acid, a tetrahydropyridine and a tertiary amino compound. It is a conjugate base of a carmoxirole(1+)."
41,864,"Lipoic acid is a heterocyclic thia fatty acid comprising pentanoic acid with a 1,2-dithiolan-3-yl group at the 5-position. It has a role as a fundamental metabolite and a geroprotector. It is a member of dithiolanes, a heterocyclic fatty acid and a thia fatty acid. It is functionally related to an octanoic acid. It is a conjugate acid of a lipoate."
42,1484540,"4-[2-[(2,4-dichlorophenyl)methylthio]-6-methyl-4-pyrimidinyl]morpholine is a dichlorobenzene."
43,3166,2-cyclohexyl-2-phenylacetic acid 2-(diethylamino)ethyl ester is a member of benzenes.
44,6307,"Quinethazone is a member of the class of quinazolines that is quinazolin-4-one substituted at positions 2, 6 and 7 by ethyl, sulfamoyl and chloro groups respectively; a thiazide-like diuretic used to treat hypertension. It has a role as an antihypertensive agent and a diuretic."
45,791,2-amino-3-methylpentanoic acid is a branched chain amino acid that consists of 3-methylpentanoic acid bearing an amino substituent at position 2. It is an alpha-amino acid and a branched-chain amino acid.
46,997475,"3-[(4-nitrophenyl)methoxy]-7,8,9,10-tetrahydrobenzo[c][1]benzopyran-6-one is a member of coumarins."
47,114810,"Monobromobimane is a pyrazolopyrazole that consists of 1H,7H-pyrazolo[1,2-a]pyrazole-1,7-dione bearing three methyl substituents at positions 2, 5 and 6 as well as a bromomethyl substituent at the 3-position. It has a role as a fluorochrome. It is an organobromine compound and a pyrazolopyrazole."
48,5330286,"Palbociclib is a member of the class of pyridopyrimidines that is 2-{[5-(piperazin-1-yl)pyridin-2-yl]amino}pyrido[2,3-d]pyrimidin-7-one bearing additional methyl, acetyl and cyclopentyl substituents at positions 5, 6 and 8 respectively. It is used in combination with letrozole for the treatment of metastatic breast cancer. It has a role as an EC 2.7.11.22 (cyclin-dependent kinase) inhibitor and an antineoplastic agent. It is a pyridopyrimidine, an aminopyridine, a secondary amino compound, a member of piperidines, an aromatic ketone, a member of cyclopentanes and a tertiary amino compound."
49,389,"Ornithine is an alpha-amino acid that is pentanoic acid bearing two amino substituents at positions 2 and 5. It has a role as a human metabolite, a Daphnia magna metabolite, an algal metabolite and an Escherichia coli metabolite. It is a conjugate base of an ornithinium(1+). It is a conjugate acid of an ornithinate."
50,4691,"3-(1,3-benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine is a member of piperidines."
51,2805536,2-[1-(1H-imidazol-1-yl)vinyl]phenol is a member of styrenes.
52,4891504,N-[2-(2-benzamidoethyl)-1-methyl-5-benzimidazolyl]-2-methoxybenzamide is a member of benzimidazoles.
53,5271805,"Ginkgetin is a biflavonoid that is the 7,4'-dimethyl ether derivative of amentoflavone. Isolated from Ginkgo biloba and Dioon, it exhibits anti-HSV-1, antineoplastic and inhibitory activities towards arachidonate 5-lipoxygenase and cyclooxygenase 2. It has a role as an anti-HSV-1 agent, a cyclooxygenase 2 inhibitor, an EC 1.13.11.34 (arachidonate 5-lipoxygenase) inhibitor, an antineoplastic agent and a metabolite. It is a biflavonoid, a hydroxyflavone, a methoxyflavone and a ring assembly. It is functionally related to an amentoflavone."
54,114917,Tanshinone I is an abietane diterpenoid. It has a role as an anticoronaviral agent.
55,1118253,4-fluoro-N-(3-pyridinyl)benzamide is an organohalogen compound and a carbonyl compound.
56,763786,"3-(4-methylphenyl)-6-phenyl-1,4-dihydro-1,3,5-triazine-2-thione is a member of thioureas."
57,3593,"5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one is an ether and a member of flavonoids."
58,5275726,"(S)-[10]-Gingerol is a monomethoxybenzene, a beta-hydroxy ketone and a member of phenols."
59,6603931,"N-(4-cyanophenyl)-2-[4-(2,6-dioxo-1,3-dipropyl-7H-purin-8-yl)phenoxy]acetamide is an oxopurine."
60,29566,Taurolidine is a thiadiazinane.
61,2100018,"4-[4-(phenylmethyl)-1-piperidinyl]thieno[2,3-d]pyrimidine is a member of piperidines and a thienopyrimidine."
62,41958,Butoxyacetic acid is a carboxylic acid.
63,24753719,N-hydroxy-1-[(4-methoxyphenyl)methyl]-6-indolecarboxamide is an indolecarboxamide.
64,33675,"Oxametacin is a hydroxamic acid obtained by formal condensation of the carboxy group of indometacin with the amino group of hydroxylamine. It has a role as a non-steroidal anti-inflammatory drug, an EC 1.14.99.1 (prostaglandin-endoperoxide synthase) inhibitor and a non-narcotic analgesic. It is an organochlorine compound, a N-acylindole, an aromatic ether and a hydroxamic acid. It is functionally related to an indometacin."
65,68082,Isobergapten is a furanocoumarin.
66,44483339,"3,3-dimethyl-3aH-benzo[g]indole-2,4,5-trione is an organic heterotricyclic compound."
67,49836027,"Torin 1 is a member of the class of pyridoquinolines that is 9-(quinolin-3-yl)benzo[h][1,6]naphthyridin-2-one bearing an additional 4-(4-propionylpiperazin-1-yl)-3-(trifluoromethyl)phenyl substituent at position 1. It is a potent inhibitor of mTOR and exhibits anti-cancer properties. It has a role as a mTOR inhibitor and an antineoplastic agent. It is a N-acylpiperazine, a N-arylpiperazine, an organofluorine compound, a pyridoquinoline and a member of quinolines."
68,9338,"2,6-dihydroxybenzoic acid is a dihydroxybenzoic acid having the two hydroxy groups at the C-2 and C-6 positions. It has a role as a metabolite. It is a conjugate acid of a 2,6-dihydroxybenzoate."
69,17355,4-phenylbutan-2-one is a ketone.
70,1409689,"N-[5-[(4-methoxyphenyl)methyl]-1,3,4-thiadiazol-2-yl]-2-furancarboxamide is a member of methoxybenzenes."
71,38361962,"3-(5,7-dimethoxy-4-oxo-4H-chromen-2-yl)propanoic acid is a member of chromones."
72,646145,"N4-cyclohexyl-N1-ethyl-N4-(2-pyridinylmethyl)benzene-1,4-disulfonamide is a sulfonamide."
73,6604926,"1-(2-methyl-1,3-benzoxazol-6-yl)-3-(1,5-naphthyridin-4-yl)urea is a naphthyridine derivative."
74,3081484,Picroside ii is a tannin.
75,4544,"6,7-dimethoxy-3-(4-methoxy-6-methyl-7,8-dihydro-5H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl)-3H-isobenzofuran-1-one is a member of isoquinolines."
76,43233,"Azaconazole is a member of the class of dioxolanes that is 1,3-dioxolane substituted at position 2 by 2,4-dichlorophenyl and 1,2,4-triazol-1-ylmethyl groups. A fungicide used mainly in ornamental crops to control canker and other diseases. Azaconazole is moderately toxic to mammals but is not expected to bioaccumulate. It is moderately toxic to birds, fish and aquatic invertebrates. It has a role as an EC 1.14.13.70 (sterol 14alpha-demethylase) inhibitor and an antifungal agrochemical. It is a dichlorobenzene, a cyclic ketal, a dioxolane, a member of triazoles, a conazole fungicide and a triazole fungicide."
77,44139710,N-(2-chlorophenyl)-4-[[2-[4-[2-(4-ethyl-1-piperazinyl)-2-oxoethyl]anilino]-5-fluoro-4-pyrimidinyl]amino]benzamide is a member of benzamides.
78,830655,LSM-20487 is a pyridopyrimidine.
79,5310304,"N-cyclohexyl-N-ethyl-1,3-dimethyl-2,4-dioxo-5-pyrimidinesulfonamide is a pyrimidone and a sulfonamide."
80,121926,"4-(methoxymethyl)-6-phenylmethoxy-9H-pyrido[3,4-b]indole-3-carboxylic acid ethyl ester is a member of beta-carbolines."
81,80087,Dimethyl 4-hydroxyisophthalate is a phthalate ester.
82,3244136,"2,4-dimethyl-6-oxo-N-[(2,4,6-trifluorophenyl)methyl]-3-pyrancarboxamide is a member of 2-pyranones."
83,3395,Flurbiprofen axetil is an organic molecular entity.
84,5042,2-[[(4-chlorophenyl)-oxomethyl]amino]-3-(2-oxo-1H-quinolin-4-yl)propanoic acid is a secondary carboxamide.
85,60753,Ibutilide is an organic amino compound and a member of benzenes.
86,4456,"Neostigmine is a quaternary ammonium ion comprising an anilinium ion core having three methyl substituents on the aniline nitrogen, and a 3-[(dimethylcarbamoyl)oxy] substituent at position 3. It is a parasympathomimetic which acts as a reversible acetylcholinesterase inhibitor. It has a role as an EC 3.1.1.7 (acetylcholinesterase) inhibitor and an antidote to curare poisoning."
87,978,"4-aminobenzoic acid is an aminobenzoic acid in which the amino group is para to the carboxy group. It has a role as an Escherichia coli metabolite, a plant metabolite and an allergen. It is functionally related to a benzoic acid. It is a conjugate base of a 4-carboxyanilinium. It is a conjugate acid of a 4-aminobenzoate. It is a tautomer of a 4-ammoniobenzoate."
88,485077,Dihydrochelerythrine is a benzophenanthridine alkaloid.
89,3741,Ioversol is an amidobenzoic acid.
90,1257201,"N-(3-chloro-4-fluorophenyl)-5-pyridin-4-yl-1,3,4-thiadiazol-2-amine is a substituted aniline."
91,9870652,Fimasartan is a member of biphenyls.
92,4440,"Naratriptan is a sulfonamide, a member of tryptamines and a heteroarylpiperidine. It has a role as a serotonergic agonist and a vasoconstrictor agent."
93,2292474,N-[2-(4-tert-butylphenoxy)ethyl]-2-(4-fluorophenyl)acetamide is a member of acetamides.
94,148184,CX-516 is a N-acylpiperidine.
95,3494,"2-cyclopentyl-2-hydroxy-2-phenylacetic acid (1,1-dimethyl-3-pyrrolidin-1-iumyl) ester is a member of benzenes."
96,22407,LSM-22634 is an alkaloid.
97,124246,Iguratimod is an organic molecular entity.
98,48229,2-[3-(trifluoromethyl)anilino]-3-pyridinecarboxylic acid (3-oxo-1H-isobenzofuran-1-yl) ester is a member of benzofurans.
99,54766,"Bambuterol is a carbamate ester that is terbutaline in which both of the phenolic hydroxy groups have been protected as the corresponding N,N-dimethylcarbamates. A long acting beta-adrenoceptor agonist used in the treatment of asthma, it is a prodrug for terbutaline. It has a role as a beta-adrenergic agonist, a prodrug, a bronchodilator agent, an anti-asthmatic drug, an EC 3.1.1.7 (acetylcholinesterase) inhibitor, a sympathomimetic agent and a tocolytic agent. It is a carbamate ester and a member of phenylethanolamines. It is functionally related to a terbutaline."
100,71406,Tocophersolan is a tocol.
101,2577,Carmofur is an organohalogen compound and a member of pyrimidines.
102,709390,"N-(3-pyridinyl)-2,3-dihydrothieno[3,4-b][1,4]dioxin-5-carboxamide is a member of thiophenes and an aromatic amide."
103,6776,Anthraflavic acid is a dihydroxyanthraquinone that is anthracene substituted by hydroxy groups at C-3 and C-7 and oxo groups at C-9 and C-10. It has a role as an antimutagen and a plant metabolite. It derives from a hydride of an anthracene.
104,44607360,N-[3-[[5-chloro-2-[4-(4-methyl-1-piperazinyl)anilino]-4-pyrimidinyl]oxy]phenyl]-2-propenamide is a member of piperazines.
105,3758,3-isobutyl-1-methyl-9H-xanthine is a 3-isobutyl-1-methylxanthine. It is functionally related to a 9H-xanthine. It is a tautomer of a 3-isobutyl-1-methyl-7H-xanthine.
106,1150,"Tryptamine is an aminoalkylindole consisting of indole having a 2-aminoethyl group at the 3-position. It has a role as a human metabolite, a plant metabolite and a mouse metabolite. It is an aminoalkylindole, an indole alkaloid, an aralkylamino compound and a member of tryptamines. It is a conjugate base of a tryptaminium."
107,271117,Cyclopenin is a benzodiazepine.
108,3230028,"1-[4-[2-(4-methoxyphenyl)-5-phenyl-7-pyrazolo[1,5-a]pyrimidinyl]-1-piperazinyl]ethanone is a member of pyrimidines."
109,2915,Cystamine is an organic disulfide obtgained by oxidative dimerisation of cysteamine. It has a role as an EC 2.3.2.13 (protein-glutamine gamma-glutamyltransferase) inhibitor. It is an organic disulfide and a primary amino compound. It is functionally related to a cysteamine.
110,135407999,4-chloro-N-[(4-chlorophenyl)methyl]-3-nitro-1H-pyrazole-5-carboxamide is an aromatic amide and a heteroarene.
111,581676,Tetrahydropiperine is a member of benzodioxoles.
112,4170,"Metolazone is a quinazoline that consists of 1,2,3,4-tetrahydroquinazolin-4-one bearing additional methyl, 2-tolyl, sulfamyl and chloro substituents at positions 2, 3, 6 and 7 respectively. A quinazoline diuretic, with properties similar to thiazide diuretics. It has a role as a diuretic, an antihypertensive agent and an ion transport inhibitor. It is a member of quinazolines, an organochlorine compound and a sulfonamide."
113,119461,9-oxo-6-propan-2-yloxy-2-xanthenecarboxylic acid is a member of xanthones.
114,9956119,"CHIR 99021 is a member of the class of aminopyrimidines that is 2-aminopyrimidine substituted at positions N2, 5 and 6 by (5-cyanopyridin-2-yl)ethyl, 4-methylimidazol-2-yl and 2,4-dichlorophenyl groups respectively. It has a role as an EC 2.7.11.26 (tau-protein kinase) inhibitor. It is a member of imidazoles, a dichlorobenzene, an aminopyrimidine, an aminopyridine, a cyanopyridine, a secondary amino compound and a diamine."
115,4946,"Propranolol is a propanolamine that is propan-2-ol substituted by a propan-2-ylamino group at position 1 and a naphthalen-1-yloxy group at position 3. It has a role as a beta-adrenergic antagonist, an anxiolytic drug, an anti-arrhythmia drug, a vasodilator agent, an antihypertensive agent, a xenobiotic, an environmental contaminant and a human blood serum metabolite. It is a secondary amine, a propanolamine and a member of naphthalenes. It is functionally related to a 1-naphthol."
116,2756,"Cimetidine is a member of the class of guanidines that consists of guanidine carrying a methyl substituent at position 1, a cyano group at position 2 and a 2-{[(5-methyl-1H-imidazol-4-yl)methyl]sulfanyl}ethyl group at position 3. It is a H2-receptor antagonist that inhibits the production of acid in stomach. It has a role as a H2-receptor antagonist, a P450 inhibitor, an anti-ulcer drug, an analgesic and an adjuvant. It is a member of guanidines, a member of imidazoles, an aliphatic sulfide and a nitrile."
117,59768,"Methyl 3-{4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl}propanoate is a methyl ester that is methyl 3-(4-hydroxyphenyl)propanoate in which the hydrogen attached to the phenolic hydroxy group is substituted by a 2-hydroxy-3-(isopropylamino)propyl group. It is an aromatic ether, a member of ethanolamines, a methyl ester, a secondary alcohol and a secondary amino compound. It is functionally related to a 3-{4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl}propanoic acid."
118,12046,"2-methylglutaric acid is an alpha,omega-dicarboxylic acid that is glutaric acid substituted at position 2 by a methyl group. It has a role as a mammalian metabolite. It is an alpha,omega-dicarboxylic acid and a dicarboxylic fatty acid. It is functionally related to a glutaric acid. It is a conjugate acid of a 2-methylglutarate(2-)."
119,232990,Hesperetin 7-neohesperidoside is a glycoside and a member of flavonoids.
120,4053250,3-[[(3-methoxyphenyl)-oxomethyl]amino]-2-benzofurancarboxamide is a member of benzofurans.
121,78,"3-chloroalanine is a chloroalanine obtained by replacement of one of the methyl hydrogens of alanine by a chloro group. It is a non-proteinogenic alpha-amino acid, an organochlorine compound and a chloroalanine."
122,2322183,1-(3-chlorophenyl)-3-[2-(thiophen-2-ylsulfonylamino)phenyl]urea is a sulfonamide.
123,26177,"Tris(1,3-dichloropropan-2-yl) phosphate is a trialkyl phosphate."
124,135565903,Opicapone is a ring assembly and an oxadiazole.
125,9551230,4-methyl-N-[[4-[oxo-[4-(phenylmethyl)-1-piperazinyl]methyl]phenyl]methyl]benzenesulfonamide is a sulfonamide.
126,6043,"2-benzoxazolinone is a member of the class of benzoxazoles that is 2,3-dihydro-1,3-benzoxazole carrying an oxo group at position 2. It has a role as an allelochemical and a phytoalexin."
127,3449,LSM-1597 is an alkaloid.
128,5327,"Sulfamethazine is a sulfonamide consisting of pyrimidine with methyl substituents at the 4- and 6-positions and a 4-aminobenzenesulfonamido group at the 2-position. It has a role as an antiinfective agent, a carcinogenic agent, a ligand, an antibacterial drug, an antimicrobial agent, an EC 2.5.1.15 (dihydropteroate synthase) inhibitor, an environmental contaminant, a xenobiotic and a drug allergen. It is a member of pyrimidines, a sulfonamide and a sulfonamide antibiotic. It is functionally related to a sulfanilamide."
129,1220,"8-OH-DPAT is a tetralin substituted at positions 1 and 7 by hydroxy and dipropylamino groups respectively It has a role as a serotonergic antagonist. It is a member of tetralins, a member of phenols and a tertiary amino compound. It derives from a hydride of a tetralin."
130,891996,"3-[(4-ethoxyphenoxy)methyl]-N,N-diethylbenzamide is a member of benzamides."
131,3752,"6-(2,5-dichlorophenyl)-1,3,5-triazine-2,4-diamine is a dichlorobenzene."
132,5280569,"7,8-dihydroxycoumarin is a hydroxycoumarin."
133,1102,"Spermidine is a triamine that is the 1,5,10-triaza derivative of decane. It has a role as a fundamental metabolite, a geroprotector and an autophagy inducer. It is a triamine and a polyazaalkane. It is a conjugate base of a spermidine(3+)."
134,9798973,"BAY 41-2272 is a pyrazolopyridine that is 1H-pyrazolo[3,4-b]pyridine which is substituted by a 2-fluorobenzyl group at position 1 and by a 4-amino-5-cyclopropylpyrimidin-2-yl group at position 3. It is an activator of soluble guanylate cyclase. It has a role as a soluble guanylate cyclase activator, a platelet aggregation inhibitor, a vasodilator agent and an antihypertensive agent. It is a pyrazolopyridine, a member of monofluorobenzenes, an aminopyrimidine and a member of cyclopropanes."
135,3378093,"SB 224289 is a member of the class of benzamides obtained by formal condensation of the carboxy group of 2'-methyl-4'-(5-methyl-1,2,4-oxadiazol-3-yl)biphenyl-4-carboxylic acid with the secondary amino group of 1'-methyl-6,7-dihydro-5H-spiro[furo[2,3-f]indole-3,4'-piperidine]. Selective 5-HT1B receptor antagonist (pKi = 8.2). Displays &gt;60-fold selectivity over 5-HT1D, 5-HT1A, 5-HT1E, 5-HT1F, 5-HT2A and 5-HT2C receptors in radioligand binding and functional assays. Centrally active following oral administration in vivo. It has a role as a serotonergic antagonist. It is an organic heterotetracyclic compound, an azaspiro compound, a 1,2,4-oxadiazole and a member of benzamides. It is a conjugate base of a SB 224289(1+)."
136,1067700,"2-[[benzamido(sulfanylidene)methyl]amino]-5,5-dimethyl-4,7-dihydrothieno[2,3-c]pyran-3-carboxylic acid is a thienopyran."
137,3888788,3-(2-methoxyphenyl)-2-methyl-4-oxo-1H-quinazoline-2-carboxylic acid methyl ester is a member of quinazolines.
138,46901937,"7-[2-[2-(dimethylamino)ethoxy]ethoxy]-6-methoxy-2-(4-methyl-1,4-diazepan-1-yl)-N-(1-methyl-4-piperidinyl)-4-quinazolinamine is a member of quinazolines."
139,53472153,"PF-4800567 is a pyrazolopyrimidine that is 1H-pyrazolo[3,4-d]pyrimidin-4-amine which is substituted at positions 1 and 3 by tetrahydro-2H-pyran-4-yl and (m-chlorophenoxy)methyl groups, respectively. It is a selective inhibitor of the epsilon isoform of casein kinase 1 (CK1epsilon). It has a role as an EC 2.7.11.1 (non-specific serine/threonine protein kinase) inhibitor. It is a pyrazolopyrimidine, a member of monochlorobenzenes, an aromatic ether and a member of oxanes."
140,643,"Dethiobiotin is a hexanoic acid having a 5-methyl-2-oxoimidazolidin-4-yl group at the 6-position. It has a role as an Escherichia coli metabolite. It is a monocarboxylic acid, a member of ureas and an imidazolidinone. It is functionally related to a hexanoic acid. It is a conjugate acid of a dethiobiotin(1-)."
141,10065830,"Methylophiopogonone A is a homoisoflavonoid that is 4H-1-benzopyran-4-one substituted by hydroxy groups at positions 5 and 7, methyl groups at positions 6 and 8 and a (2H-1,3-benzodioxol-5-yl)methyl group at position 3 respectively. It has a role as a plant metabolite. It is a homoisoflavonoid and a member of resorcinols."
142,861,"2-amino-3-[4-(4-hydroxy-3-iodophenoxy)-3,5-diiodophenyl]propanoic acid is a phenylalanine derivative."
