Unnamed: 0,CID,Description,Dominant_topic,Perc_Contrib,Topic_Keywords,Text
11,2484,"Butenafine is trimethylamine in which hydrogen atoms attached to different methyl groups are substituted by 1-naphthyl and 4-tert-butylphenyl groups. It is an inhibitor of squalene epoxidase, an enzyme responsible for the creation of sterols needed in fungal cell membranes, and is used as its hydrochloride salt for treatment of dermatological fungal infections. It has a role as an EC 1.14.13.132 (squalene monooxygenase) inhibitor and an antifungal drug. It is a tertiary amine and a member of naphthalenes.",Drug,0.7983,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['butenafin', 'trimethylamin', 'hydrogen', 'atom', 'attach', 'differ', 'methyl', 'group', 'substitut', 'naphthyl', 'tert', 'butylphenyl', 'group', 'inhibitor', 'squalen', 'epoxidas', 'enzym', 'respons', 'creation', 'sterol', 'need', 'fungal', 'cell', 'membran', 'use', 'hydrochlorid', 'salt', 'treatment', 'dermatolog', 'fungal', 'infect', 'role', 'ec', 'squalen', 'monooxygenas', 'inhibitor', 'antifung', 'drug', 'tertiari', 'amin', 'member', 'naphthalen']"
12,1247210,N-[1-[(4-chlorophenyl)methyl]-4-pyrazolyl]-2-pyrazinecarboxamide is a member of pyrazines and a secondary carboxamide.,No annotation,0.7047,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'chlorophenyl', 'methyl', 'pyrazolyl', 'pyrazinecarboxamid', 'member', 'pyrazin', 'secondari', 'carboxamid']"
13,135512417,N-[(cyclohexylamino)-oxomethyl]-2-[ethyl-[(4-oxo-1H-quinazolin-2-yl)methyl]amino]acetamide is a member of quinazolines.,No annotation,0.9515,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'cyclohexylamino', 'oxomethyl', 'ethyl', 'oxo', 'h', 'quinazolin', 'yl', 'methyl', 'amino', 'acetamid', 'member', 'quinazolin']"
14,185460,Bilastine is a member of benzimidazoles.,No annotation,0.7742,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['bilastin', 'member', 'benzimidazol']"
15,3673,Ibuprofen piconol is an organic molecular entity.,No annotation,0.8591,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['ibuprofen', 'piconol', 'organ', 'molecular', 'entiti']"
16,3518,"Guanethidine is a member of the class of guanidines in which one of the hydrogens of the amino group has been replaced by a 2-azocan-1-ylethyl group. It has a role as an antihypertensive agent, an adrenergic antagonist and a sympatholytic agent. It is a member of guanidines and a member of azocanes. It is functionally related to a guanidine. It derives from a hydride of an azocane.",Drug,0.8704,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['guanethidin', 'member', 'class', 'guanidin', 'one', 'hydrogen', 'amino', 'group', 'replac', 'azocan', 'ylethyl', 'group', 'role', 'antihypertens', 'agent', 'adrenerg', 'antagonist', 'sympatholyt', 'agent', 'member', 'guanidin', 'member', 'azocan', 'function', 'relat', 'guanidin', 'deriv', 'hydrid', 'azocan']"
17,3598,"Hexachlorophene is an organochlorine compound that is diphenylmethane in which each of the phenyl groups is substituted by chlorines at positions 2, 3, and 5, and by a hydroxy group at position 6. An antiseptic that is effective against Gram-positive organisms, it is used in soaps and creams for the treatment of various skin disorders. It is also used in agriculture as an acaricide and fungicide, but is not approved for such use within the European Union. It has a role as an antiseptic drug, an acaricide, an antibacterial agent and an antifungal agrochemical. It is a polyphenol, a trichlorobenzene and a bridged diphenyl fungicide.",Drug,0.9828,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['hexachlorophen', 'organochlorin', 'compound', 'diphenylmethan', 'phenyl', 'group', 'substitut', 'chlorin', 'posit', 'hydroxi', 'group', 'posit', 'antisept', 'effect', 'gram', 'posit', 'organ', 'use', 'soap', 'cream', 'treatment', 'various', 'skin', 'disord', 'also', 'use', 'agricultur', 'acaricid', 'fungicid', 'approv', 'use', 'within', 'european', 'union', 'role', 'antisept', 'drug', 'acaricid', 'antibacteri', 'agent', 'antifung', 'agrochem', 'polyphenol', 'trichlorobenzen', 'bridg', 'diphenyl', 'fungicid']"
18,10752,2-oxo-2H-chromene-3-carboxylic acid is a member of coumarins.,No annotation,0.6463,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['oxo', 'h', 'chromen', 'carboxyl', 'acid', 'member', 'coumarin']"
19,6422124,Cyclopropyl-[4-[3-(1H-imidazol-5-yl)propoxy]phenyl]methanone is an aromatic ketone.,No annotation,0.933,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['cyclopropyl', 'h', 'imidazol', 'yl', 'propoxi', 'phenyl', 'methanon', 'aromat', 'keton']"
20,107896,SR95531 is a member of methoxybenzenes.,No annotation,0.831,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['sr', 'member', 'methoxybenzen']"
21,5275,4-[6-amino-3-(4-methoxyphenyl)-1-pyridazin-1-iumyl]butanoic acid is a member of pyridazines and a ring assembly.,No annotation,0.7341,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['amino', 'methoxyphenyl', 'pyridazin', 'iumyl', 'butano', 'acid', 'member', 'pyridazin', 'ring', 'assembl']"
22,65752,Rutecarpine is a member of beta-carbolines.,No annotation,0.5762,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['rutecarpin', 'member', 'beta', 'carbolin']"
23,5650,3-methyl-2-[1-oxopentyl-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]amino]butanoic acid is a N-acyl-amino acid.,No annotation,0.5942,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methyl', 'oxopentyl', 'h', 'tetrazol', 'yl', 'phenyl', 'phenyl', 'methyl', 'amino', 'butano', 'acid', 'n', 'acyl', 'amino', 'acid']"
24,10288191,"Binimetinib is a member of the class of benzimidazoles that is 1-methyl-1H-benzimidazole which is substituted at positions 4, 5, and 6 by fluorine, (4-bromo-2-fluorophenyl)nitrilo, and N-(2-hydroxyethoxy)aminocarbonyl groups, respectively. It is a MEK1 and MEK2 inhibitor (IC50= 12 nM). Approved by the FDA for the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation in combination with encorafenib. It has a role as an EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor, an antineoplastic agent and an apoptosis inducer. It is a member of benzimidazoles, a member of bromobenzenes, a member of monofluorobenzenes, a hydroxamic acid ester and a secondary amino compound.",Drug,0.7785,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['binimetinib', 'member', 'class', 'benzimidazol', 'methyl', 'h', 'benzimidazol', 'substitut', 'posit', 'fluorin', 'bromo', 'fluorophenyl', 'nitrilo', 'n', 'hydroxyethoxi', 'aminocarbonyl', 'group', 'respect', 'mek', 'mek', 'inhibitor', 'ic', 'nm', 'approv', 'fda', 'treatment', 'patient', 'unresect', 'metastat', 'melanoma', 'braf', 'v', 'e', 'v', 'k', 'mutat', 'combin', 'encorafenib', 'role', 'ec', 'mitogen', 'activ', 'protein', 'kinas', 'inhibitor', 'antineoplast', 'agent', 'apoptosi', 'induc', 'member', 'benzimidazol', 'member', 'bromobenzen', 'member', 'monofluorobenzen', 'hydroxam', 'acid', 'ester', 'secondari', 'amino', 'compound']"
25,3152,"Donepezil is a racemate comprising equimolar amounts of (R)- and (S)-donepezil. A centrally acting reversible acetylcholinesterase inhibitor, its main therapeutic use is in the treatment of Alzheimer's disease where it is used to increase cortical acetylcholine. It has a role as an EC 3.1.1.7 (acetylcholinesterase) inhibitor, a nootropic agent and an EC 3.1.1.8 (cholinesterase) inhibitor. It contains a (R)-donepezil and a (S)-donepezil. It is a conjugate base of a donepezil (1+).",Drug,0.9781,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['donepezil', 'racem', 'compris', 'equimolar', 'amount', 'r', 'donepezil', 'central', 'act', 'revers', 'acetylcholinesteras', 'inhibitor', 'main', 'therapeut', 'use', 'treatment', 'alzheim', 'diseas', 'use', 'increas', 'cortic', 'acetylcholin', 'role', 'ec', 'acetylcholinesteras', 'inhibitor', 'nootrop', 'agent', 'ec', 'cholinesteras', 'inhibitor', 'contain', 'r', 'donepezil', 'donepezil', 'conjug', 'base', 'donepezil']"
26,382975,3-(4-Hydroxyphenyl)chroman-7-ol is a member of hydroxyisoflavans.,No annotation,0.8531,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['hydroxyphenyl', 'chroman', 'ol', 'member', 'hydroxyisoflavan']"
27,167551,"Anacardic acid is a hydroxybenzoic acid that is salicylic acid substituted by a pentadecyl group at position 6. It is a major component of cashew nut shell liquid and exhibits an extensive range of bioactivities. It has a role as an EC 2.3.1.48 (histone acetyltransferase) inhibitor, an apoptosis inducer, a neuroprotective agent, an EC 3.4.22.69 (SARS coronavirus main proteinase) inhibitor, an anticoronaviral agent, an antibacterial agent, an anti-inflammatory agent and a plant metabolite. It is a hydroxybenzoic acid and a hydroxy monocarboxylic acid. It is functionally related to a salicylic acid.",Drug,0.5293,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['anacard', 'acid', 'hydroxybenzo', 'acid', 'salicyl', 'acid', 'substitut', 'pentadecyl', 'group', 'posit', 'major', 'compon', 'cashew', 'nut', 'shell', 'liquid', 'exhibit', 'extens', 'rang', 'bioactiv', 'role', 'ec', 'histon', 'acetyltransferas', 'inhibitor', 'apoptosi', 'induc', 'neuroprotect', 'agent', 'ec', 'sar', 'coronavirus', 'main', 'proteinas', 'inhibitor', 'anticoronavir', 'agent', 'antibacteri', 'agent', 'anti', 'inflammatori', 'agent', 'plant', 'metabolit', 'hydroxybenzo', 'acid', 'hydroxi', 'monocarboxyl', 'acid', 'function', 'relat', 'salicyl', 'acid']"
28,60919,Tasosartan is a member of biphenyls.,No annotation,0.7655,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['tasosartan', 'member', 'biphenyl']"
29,5530,"2-phenylcyclopropan-1-amine is a member of the class of cyclopropanes carrying amino and phenyl substituents at positions 1 and 2 respectively. It is a member of cyclopropanes, a primary amine and a member of benzenes.",Drug,0.8371,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['phenylcyclopropan', 'amin', 'member', 'class', 'cyclopropan', 'carri', 'amino', 'phenyl', 'substitu', 'posit', 'respect', 'member', 'cyclopropan', 'primari', 'amin', 'member', 'benzen']"
30,757,Glycolic acid is a 2-hydroxy monocarboxylic acid that is acetic acid where the methyl group has been hydroxylated. It has a role as a metabolite and a keratolytic drug. It is a 2-hydroxy monocarboxylic acid and a primary alcohol. It is functionally related to an acetic acid. It is a conjugate acid of a glycolate.,Metabolite,0.8863,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['glycol', 'acid', 'hydroxi', 'monocarboxyl', 'acid', 'acet', 'acid', 'methyl', 'group', 'hydroxyl', 'role', 'metabolit', 'keratolyt', 'drug', 'hydroxi', 'monocarboxyl', 'acid', 'primari', 'alcohol', 'function', 'relat', 'acet', 'acid', 'conjug', 'acid', 'glycol']"
31,2761171,"Ethionamide is a thiocarboxamide that is pyridine-4-carbothioamide substituted by an ethyl group at position 2. A prodrug that undergoes metabolic activation by conversion to the corresponding S-oxide. It has a role as an antitubercular agent, an antilipemic drug, a fatty acid synthesis inhibitor, a leprostatic drug and a prodrug. It is a member of pyridines and a thiocarboxamide.",Drug,0.679,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['ethionamid', 'thiocarboxamid', 'pyridin', 'carbothioamid', 'substitut', 'ethyl', 'group', 'posit', 'prodrug', 'undergo', 'metabol', 'activ', 'convers', 'correspond', 'oxid', 'role', 'antitubercular', 'agent', 'antilipem', 'drug', 'fatti', 'acid', 'synthesi', 'inhibitor', 'leprostat', 'drug', 'prodrug', 'member', 'pyridin', 'thiocarboxamid']"
32,5417,"2,3,9,10-tetramethoxy-6,8,13,13a-tetrahydro-5H-isoquinolino[2,1-b]isoquinoline is an alkaloid.",No annotation,0.7223,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['tetramethoxi', 'tetrahydro', 'h', 'isoquinolino', 'b', 'isoquinolin', 'alkaloid']"
33,3279,2-[2-(1-hydroxybutan-2-ylamino)ethylamino]-1-butanol is an amino alcohol.,No annotation,0.6684,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['hydroxybutan', 'ylamino', 'ethylamino', 'butanol', 'amino', 'alcohol']"
34,16423013,"3-methyl-1-oxo-2-[3-oxo-3-(pyrrolidin-1-yl)propyl]-1,5-dihydrobenzo[4,5]imidazo[1,2-a]pyridine-4-carbonitrile is an organic molecular entity.",No annotation,0.9515,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methyl', 'oxo', 'oxo', 'pyrrolidin', 'yl', 'propyl', 'dihydrobenzo', 'imidazo', 'pyridin', 'carbonitril', 'organ', 'molecular', 'entiti']"
35,11201035,"4-[2-phenyl-5,7-bis(trifluoromethyl)-3-pyrazolo[1,5-a]pyrimidinyl]phenol is a member of pyrazoles and a ring assembly.",No annotation,0.9378,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['phenyl', 'bis', 'trifluoromethyl', 'pyrazolo', 'pyrimidinyl', 'phenol', 'member', 'pyrazol', 'ring', 'assembl']"
36,5307507,"1-(3-amino-7-methoxy-1-pyrazolo[3,4-b]quinolinyl)-2-(2-methoxyphenyl)ethanone is a member of quinolines.",No annotation,0.9317,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['amino', 'methoxi', 'pyrazolo', 'b', 'quinolinyl', 'methoxyphenyl', 'ethanon', 'member', 'quinolin']"
37,71158,"Acamprosate is an organosulfonic acid that is propane-1-sulfonic acid substituted by an acetylamino group at position 3. It has a role as a neurotransmitter agent, an environmental contaminant and a xenobiotic. It is an organosulfonic acid and a member of acetamides.",Metabolite,0.5183,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['acampros', 'organosulfon', 'acid', 'propan', 'sulfon', 'acid', 'substitut', 'acetylamino', 'group', 'posit', 'role', 'neurotransmitt', 'agent', 'environment', 'contamin', 'xenobiot', 'organosulfon', 'acid', 'member', 'acetamid']"
38,5318,"1-{2-[(4-chlorobenzyl)sulfanyl]-2-(2,4-dichlorophenyl)ethyl}-1H-imidazole is a member of the class of imidazoles that is 1-ethyl-1H-imidazole in which one of the hydrogens of the methyl group is replaced by a (4-chlorobenzyl)sulfanediyl group while a second is replaced by a 2,4-dichlorophenyl group. It is a member of imidazoles, an organic sulfide, a dichlorobenzene and a member of monochlorobenzenes.",No annotation,0.5499,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['chlorobenzyl', 'sulfanyl', 'dichlorophenyl', 'ethyl', 'h', 'imidazol', 'member', 'class', 'imidazol', 'ethyl', 'h', 'imidazol', 'one', 'hydrogen', 'methyl', 'group', 'replac', 'chlorobenzyl', 'sulfanediyl', 'group', 'second', 'replac', 'dichlorophenyl', 'group', 'member', 'imidazol', 'organ', 'sulfid', 'dichlorobenzen', 'member', 'monochlorobenzen']"
39,6724,"Acenaphthoquinone is an orthoquinone that is the 1,2-dioxo derivative of acenaphthene. It has a role as an epitope and a chain carrier. It derives from a hydride of an acenaphthene.",Metabolite,0.693,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['acenaphthoquinon', 'orthoquinon', 'dioxo', 'deriv', 'acenaphthen', 'role', 'epitop', 'chain', 'carrier', 'deriv', 'hydrid', 'acenaphthen']"
40,57364,"Carmoxirole is an indolecarboxylic acid that is indole-5-carboxylic acid bearing an additional 4-(4-phenyl-1,2,3,6-tetrahydropyridin-1-yl)butyl substituent at position 3. Selective, peripherally acting dopamine D2 receptor agonist. Modulates noradrenalin release and sympathetic activation. Displays antihypertensive properties in vivo. It has a role as an antihypertensive agent, a dopamine agonist and a platelet aggregation inhibitor. It is an indolecarboxylic acid, a tetrahydropyridine and a tertiary amino compound. It is a conjugate base of a carmoxirole(1+).",Drug,0.7303,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['carmoxirol', 'indolecarboxyl', 'acid', 'indol', 'carboxyl', 'acid', 'bear', 'addit', 'phenyl', 'tetrahydropyridin', 'yl', 'butyl', 'substitu', 'posit', 'select', 'peripher', 'act', 'dopamin', 'receptor', 'agonist', 'modul', 'noradrenalin', 'releas', 'sympathet', 'activ', 'display', 'antihypertens', 'properti', 'vivo', 'role', 'antihypertens', 'agent', 'dopamin', 'agonist', 'platelet', 'aggreg', 'inhibitor', 'indolecarboxyl', 'acid', 'tetrahydropyridin', 'tertiari', 'amino', 'compound', 'conjug', 'base', 'carmoxirol']"
41,864,"Lipoic acid is a heterocyclic thia fatty acid comprising pentanoic acid with a 1,2-dithiolan-3-yl group at the 5-position. It has a role as a fundamental metabolite and a geroprotector. It is a member of dithiolanes, a heterocyclic fatty acid and a thia fatty acid. It is functionally related to an octanoic acid. It is a conjugate acid of a lipoate.",Metabolite,0.7826,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['lipoic', 'acid', 'heterocycl', 'thia', 'fatti', 'acid', 'compris', 'pentano', 'acid', 'dithiolan', 'yl', 'group', 'posit', 'role', 'fundament', 'metabolit', 'geroprotector', 'member', 'dithiolan', 'heterocycl', 'fatti', 'acid', 'thia', 'fatti', 'acid', 'function', 'relat', 'octano', 'acid', 'conjug', 'acid', 'lipoat']"
42,1484540,"4-[2-[(2,4-dichlorophenyl)methylthio]-6-methyl-4-pyrimidinyl]morpholine is a dichlorobenzene.",No annotation,0.9016,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['dichlorophenyl', 'methylthio', 'methyl', 'pyrimidinyl', 'morpholin', 'dichlorobenzen']"
43,3166,2-cyclohexyl-2-phenylacetic acid 2-(diethylamino)ethyl ester is a member of benzenes.,No annotation,0.6393,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['cyclohexyl', 'phenylacet', 'acid', 'diethylamino', 'ethyl', 'ester', 'member', 'benzen']"
44,6307,"Quinethazone is a member of the class of quinazolines that is quinazolin-4-one substituted at positions 2, 6 and 7 by ethyl, sulfamoyl and chloro groups respectively; a thiazide-like diuretic used to treat hypertension. It has a role as an antihypertensive agent and a diuretic.",Drug,0.7265,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['quinethazon', 'member', 'class', 'quinazolin', 'quinazolin', 'one', 'substitut', 'posit', 'ethyl', 'sulfamoyl', 'chloro', 'group', 'respect', 'thiazid', 'like', 'diuret', 'use', 'treat', 'hypertens', 'role', 'antihypertens', 'agent', 'diuret']"
45,791,2-amino-3-methylpentanoic acid is a branched chain amino acid that consists of 3-methylpentanoic acid bearing an amino substituent at position 2. It is an alpha-amino acid and a branched-chain amino acid.,Metabolite,0.9686,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['amino', 'methylpentano', 'acid', 'branch', 'chain', 'amino', 'acid', 'consist', 'methylpentano', 'acid', 'bear', 'amino', 'substitu', 'posit', 'alpha', 'amino', 'acid', 'branch', 'chain', 'amino', 'acid']"
46,997475,"3-[(4-nitrophenyl)methoxy]-7,8,9,10-tetrahydrobenzo[c][1]benzopyran-6-one is a member of coumarins.",No annotation,0.9221,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['nitrophenyl', 'methoxi', 'tetrahydrobenzo', 'c', 'benzopyran', 'one', 'member', 'coumarin']"
47,114810,"Monobromobimane is a pyrazolopyrazole that consists of 1H,7H-pyrazolo[1,2-a]pyrazole-1,7-dione bearing three methyl substituents at positions 2, 5 and 6 as well as a bromomethyl substituent at the 3-position. It has a role as a fluorochrome. It is an organobromine compound and a pyrazolopyrazole.",Drug,0.6655,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['monobromobiman', 'pyrazolopyrazol', 'consist', 'h', 'h', 'pyrazolo', 'pyrazol', 'dion', 'bear', 'three', 'methyl', 'substitu', 'posit', 'well', 'bromomethyl', 'substitu', 'posit', 'role', 'fluorochrom', 'organobromin', 'compound', 'pyrazolopyrazol']"
48,5330286,"Palbociclib is a member of the class of pyridopyrimidines that is 2-{[5-(piperazin-1-yl)pyridin-2-yl]amino}pyrido[2,3-d]pyrimidin-7-one bearing additional methyl, acetyl and cyclopentyl substituents at positions 5, 6 and 8 respectively. It is used in combination with letrozole for the treatment of metastatic breast cancer. It has a role as an EC 2.7.11.22 (cyclin-dependent kinase) inhibitor and an antineoplastic agent. It is a pyridopyrimidine, an aminopyridine, a secondary amino compound, a member of piperidines, an aromatic ketone, a member of cyclopentanes and a tertiary amino compound.",Drug,0.6405,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['palbociclib', 'member', 'class', 'pyridopyrimidin', 'piperazin', 'yl', 'pyridin', 'yl', 'amino', 'pyrido', 'pyrimidin', 'one', 'bear', 'addit', 'methyl', 'acetyl', 'cyclopentyl', 'substitu', 'posit', 'respect', 'use', 'combin', 'letrozol', 'treatment', 'metastat', 'breast', 'cancer', 'role', 'ec', 'cyclin', 'depend', 'kinas', 'inhibitor', 'antineoplast', 'agent', 'pyridopyrimidin', 'aminopyridin', 'secondari', 'amino', 'compound', 'member', 'piperidin', 'aromat', 'keton', 'member', 'cyclopentan', 'tertiari', 'amino', 'compound']"
49,389,"Ornithine is an alpha-amino acid that is pentanoic acid bearing two amino substituents at positions 2 and 5. It has a role as a human metabolite, a Daphnia magna metabolite, an algal metabolite and an Escherichia coli metabolite. It is a conjugate base of an ornithinium(1+). It is a conjugate acid of an ornithinate.",Metabolite,0.9755,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['ornithin', 'alpha', 'amino', 'acid', 'pentano', 'acid', 'bear', 'two', 'amino', 'substitu', 'posit', 'role', 'human', 'metabolit', 'daphnia', 'magna', 'metabolit', 'algal', 'metabolit', 'escherichia', 'coli', 'metabolit', 'conjug', 'base', 'ornithinium', 'conjug', 'acid', 'ornithin']"
50,4691,"3-(1,3-benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine is a member of piperidines.",No annotation,0.8855,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['benzodioxol', 'yloxymethyl', 'fluorophenyl', 'piperidin', 'member', 'piperidin']"
51,2805536,2-[1-(1H-imidazol-1-yl)vinyl]phenol is a member of styrenes.,No annotation,0.9008,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['h', 'imidazol', 'yl', 'vinyl', 'phenol', 'member', 'styren']"
52,4891504,N-[2-(2-benzamidoethyl)-1-methyl-5-benzimidazolyl]-2-methoxybenzamide is a member of benzimidazoles.,No annotation,0.9038,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'benzamidoethyl', 'methyl', 'benzimidazolyl', 'methoxybenzamid', 'member', 'benzimidazol']"
